track_name,artists,energy,valence
Çiçeğim,Mabel Matiz,0.844,0.635
Mektup,"Motive, UZI, Aksan, Güneş, Modd",0.595,0.192
All Me,"Drake, 2 Chainz, Big Sean",0.515,0.425
Don't Play (feat. The 1975 & Big Sean),"Travis Scott, The 1975, Big Sean",0.739,0.111
Everybody Wants To Rule The World,Tears For Fears,0.795,0.535
Slidin,"21 Savage, Metro Boomin",0.706,0.382
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),"Travis Scott, The Weeknd, Swae Lee",0.764,0.248
HYAENA,Travis Scott,0.754,0.455
İki Satır Yara,"Mabel Matiz, Aşkın Nur Yengi",0.806,0.349
Uzunlar - V2,Evdeki Saat,0.713,0.853
Alright,Kendrick Lamar,0.766,0.558
One Dance,"Drake, Wizkid, Kyla",0.625,0.37
"Hold On, We're Going Home","Drake, Majid Jordan",0.414,0.289
Hanfendi,Mabel Matiz,0.631,0.301
Bodrum,Yüzyüzeyken Konuşuruz,0.464,0.322
Ölürüm Hasretinle,Seksendört,0.73,0.466
Hoşçakal,emre aydın,0.648,0.36
Bir Rüya Gördüm,İstanbul Şarkıcıları,0.365,0.543
Just Wanna Rock,Lil Uzi Vert,0.545,0.0385
ŞUT,UZI,0.72,0.418
SIRENS,Travis Scott,0.88,0.242
Apple Pie,Travis Scott,0.496,0.28
A-Team,Travis Scott,0.526,0.17
Count Me Out,Kendrick Lamar,0.431,0.495
Black & Chinese,"Huncho Jack, Travis Scott, Quavo",0.844,0.33
Düldül,"Mabel Matiz, Melike Şahin",0.859,0.853
Bu Havada Gidilmez,"Manuş Baba, Nazan Öncel",0.715,0.567
Portland,"Drake, Quavo, Travis Scott",0.443,0.35
LOOOVE (feat. Kid Cudi),"Travis Scott, Kid Cudi",0.739,0.108
DELRESTO (ECHOES) (feat. Beyoncé),"Travis Scott, Beyoncé",0.609,0.509
İnsan İnsan,"Fazıl Say, Serenad Bağcan",0.243,0.105
No Role Modelz,J. Cole,0.521,0.494
sdp interlude,Travis Scott,0.586,0.588
TOPIA TWINS (feat. Rob49 & 21 Savage),"Travis Scott, Rob49, 21 Savage",0.567,0.332
SICKO MODE,Travis Scott,0.73,0.446
Feel Good Inc.,"Gorillaz, De La Soul",0.705,0.772
Yaparım Bilirsin,Ebru Gündeş,0.78,0.656
velhasıl,Sıla,0.79,0.821
Havaalanı,Hande Yener,0.921,0.877
Karabiberim,Serdar Ortaç,0.836,0.968
9,Drake,0.712,0.0379
"İstanbul'da Doğmayan Güneş (feat. Kodes Kahra, Kayra & Vinyl Obscura)","Farazi, Sorgu, Kodes Kahra, Kayra, Vinyl Obscura",0.657,0.56
Hal Hal,Barış Manço,0.754,0.978
Gelsin Hayat Bildiği Gibi,"Ceza, Sezen Aksu",0.621,0.4
