track_name,artists,track_genre,energy,valence
The Mess I Made,Parachute,acoustic,0.572,0.17
Dream a Little Dream of Me,Zee Avi,acoustic,0.0879,0.428
"Here, Right Now",Joshua Radin,acoustic,0.391,0.492
Wonderful Tonight,Boyce Avenue,acoustic,0.299,0.286
Salvation,Gabrielle Aplin,acoustic,0.267,0.229
Wilderness,Jon Bryant,acoustic,0.209,0.138
恋人 (Original Version),Masaharu Fukuyama,acoustic,0.336,0.47
I Just Called To Say I Love You,Bailey Pelkman;Randy Rektor,acoustic,0.257,0.348
Fall on Me,A Great Big World;Christina Aguilera,acoustic,0.268,0.225
Song To Sing When I'm Lonely,John Frusciante,acoustic,0.673,0.419
A Drop In the Ocean,Ron Pope,acoustic,0.363,0.492
Have Yourself a Merry Little Christmas,Tres Hermanas,acoustic,0.268,0.265
Message (Original Version),Masaharu Fukuyama,acoustic,0.791,0.589
Beautiful In White,Matt Johnson,acoustic,0.278,0.233
